Algorithm,N,# Iterations,Param1,Param2,Param3,Fitness Score,Train time,Test time
GA,100,1000,2000,50,250,0.08337,2.061,0.002
GA,100,2000,2000,1500,250,0.11512,21.068,0.002
GA,100,3000,2000,1500,250,0.11451,29.824,0.001
GA,100,3500,2000,1500,250,0.10145,39.848,0.002
GA,100,3000,2000,1500,250,0.11058,31.517,0.002
GA,100,3000,2000,1000,250,0.09772,23.983,0.002
GA,100,3000,2000,1200,250,0.10813,24.193,0.002
GA,100,3000,2000,500,250,0.10437,12.845,0.002
GA,100,3000,2000,200,250,0.11212,7.775,0.003
GA,100,3000,2000,1500,500,0.09774,30.69,0.002
GA,100,3000,2000,1500,1000,0.09146,35.823,0.002
GA,100,3000,2000,1500,100,0.09885,36.421,0.003
